,year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations
26,2000,Bless the Child,tt0163983,R,107,"Crime, Drama, Horror, Thriller",5.1,17.0,"Cody, a little girl abandoned by her mother and raised by her aunt, a nurse, is kidnapped. The girl's guardian, aided by an F.B.I. agent, learn that Cody has supernatural abilities, and the abductees are a Satanic cult willing to do anything to gain them.",13257,29374178.0,192.0,102.0,-1.0,0,6
27,2000,Blinkende lygter,tt0236027,Not Rated,109,"Action, Comedy, Crime",7.7,47.0,"A gang of 4 Danish criminals are ordered by Færingen to steal a bag from a safe. When they see DKK4,000,000 in the bag, they keep it for themselves and head for Spain. They end up in a ruin of an old restaurant on Funen and renovate it.",17640,-1.0,37.0,27.0,-1.0,3,11
28,2000,Blood: The Last Vampire,tt0275230,Not Rated,48,"Animation, Action, Horror",6.7,44.0,"Saya is a Japanese vampire slayer whose next mission is in a high school on a US military base in 1960s Japan, where she poses as a student. She uses a katana/samurai sword to kill vampires.",11354,-1.0,93.0,57.0,-1.0,2,2
29,2000,Boiler Room,tt0181984,R,120,Crime|Drama|Thriller,7.0,63.0,"A college dropout gets a job as a broker for a suburban investment firm, which puts him on the fast track to success, but the job might not be as legitimate as it sounds.",42344,16940000.0,246.0,131.0,2410.0,0,2
30,2000,Book of Shadows: Blair Witch 2,tt0229260,R,90,"Adventure, Fantasy, Horror, Mystery, Thriller",4.0,15.0,"A group of tourists arrives in Burkittsville, Maryland after seeing <a href='/title/tt0185937/?ref_='>The Blair Witch Project</a> (1999) to explore the mythology and phenomenon, only to come face to face with their own neuroses and possibly the witch herself.",33850,26437094.0,454.0,171.0,-1.0,2,8
31,2000,Bootmen,tt0210584,R,95,"Comedy, Drama, Romance",6.2,45.0,Charismatic tap dancing Sean tries to find a way out of working at the steel mill. When failure brings him home he starts his own dance group wearing hardhats. He must then find inspiration in the steel mill he once tried to escape.,2134,21172.0,28.0,19.0,-1.0,9,3
32,2000,Borstal Boy,tt0221838,Not Rated,91,"Drama, Romance",6.8,47.0,"Irish writer and political activist Brendan Behan, is befriended as a teenager in a British labor camp by a liberal warden.",2204,87074.0,27.0,15.0,-1.0,0,4
33,2000,Bounce,tt0186894,PG-13,106,"Drama, Romance",5.7,52.0,A man switches plane tickets with another man who dies in that plane in a crash. The man falls in love with the deceased one's wife.,19156,36779296.0,158.0,106.0,-1.0,2,2
34,2000,Boys and Girls,tt0204175,PG-13,94,"Comedy, Drama, Romance",5.4,29.0,A friendship is put to the ultimate test when two best friends wind up in bed together.,15132,20627372.0,131.0,67.0,-1.0,0,0
35,2000,Bread and Roses,tt0212826,R,110,Drama,7.1,57.0,"Two Latina sisters work as cleaners in a downtown office building, and fight for the right to unionize.",4999,525738.0,50.0,46.0,-1.0,5,10
36,2000,Bring It On,tt0204946,PG-13,98,Comedy|Romance|Sport,5.9000001,52.0,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,71924,68350000.0,384.0,138.0,1386.0,0,0
37,2000,Brother,tt0222851,R,114,"Crime, Drama, Thriller",7.2,47.0,"A Japanese gangster is exiled to Los Angeles where his brother lives with a small but respectable multi-racial gang, who he inspires to expand their influence.",20560,447750.0,131.0,77.0,-1.0,0,0
38,2000,Burnt Money,tt0227277,R,125,"Crime, Drama, Romance, Thriller",7.2,68.0,"Nene & Angel and their accomplice Cuervo participate in a botched bank robbery in 1965 Buenos Aires, then hide out from the police in Uruguay while the gang breaks down.",5778,241484.0,42.0,18.0,-1.0,5,8
39,2000,Cast Away,tt0162222,PG-13,143,Adventure|Drama|Romance,7.69999981,73.0,A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island.,409544,233630000.0,1060.0,222.0,690.0,6,15
