,year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,gross,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations,best_picture,actor,actress,supporting_actor,supporting_actress,animated,cinematography,costume_design,directing,documentary,documentary_short,film_editing,foreign_language,makeup,original_score,original_song,production_design,short_animated,short_live,sound_editing,sound_mixing,visual_effects,writing_adapted,writing_original,oscar_best_picture,oscar_actor,oscar_actress,oscar_supporting_actor,oscar_supporting_actress,oscar_animated,oscar_cinematography,oscar_costume_design,oscar_directing,oscar_documentary,oscar_documentary_short,oscar_film_editing,oscar_foreign_language,oscar_makeup,oscar_original_score,oscar_original_song,oscar_production_design,oscar_short_animated,oscar_short_live,oscar_sound_editing,oscar_sound_mixing,oscar_visual_effects,oscar_writing_adapted,oscar_writing_original
10,2000,Bedazzled,tt0230030,PG-13,93,Comedy|Fantasy,6.0,49.0,"Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul.",83644,37880000.0,256.0,124.0,2636.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2000,Before Night Falls,tt0247196,R,133,Biography|Drama|Romance,7.30000019,85.0,"Episodic look at the life of Cuban poet and novelist, Reinaldo Arenas (1943-1990), from his childhood in Oriente province to his death in New York City. He joins Castro's rebels. By 1964, ... See full summary И",21219,4220000.0,132.0,102.0,-1.0,0,5,0.018181818181818184,0.0,0.0,0.0,0.028571428571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2000,Best in Show,tt0218839,PG-13,90,Comedy,7.5,78.0,A colorful array of characters compete at a national dog show.,51182,18621249.0,344.0,121.0,4296.0,11,13,0.018181818181818184,0.028571428571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2000,Big Momma's House,tt0208003,PG-13,99,"Action, Comedy, Crime",5.1,33.0,"In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.",75915,117559438.0,147.0,100.0,3968.0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2000,Billy Elliot,tt0249462,R,110,Drama|Music|Romance,7.69999981,74.0,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,101307,21990000.0,436.0,151.0,2802.0,12,42,0.04705882352941177,0.21204481792717086,0.31428571428571433,0.18035714285714285,0.05714285714285715,0.025,0.022727272727272728,0.25,0.0,0.025,0.0,0.0,0.16666666666666666,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
15,2000,Boiler Room,tt0181984,R,120,Crime|Drama|Thriller,7.0,63.0,"A college dropout gets a job as a broker for a suburban investment firm, which puts him on the fast track to success, but the job might not be as legitimate as it sounds.",42344,16940000.0,246.0,131.0,2410.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2000,Book of Shadows: Blair Witch 2,tt0229260,R,90,"Adventure, Fantasy, Horror, Mystery, Thriller",4.0,15.0,"A group of tourists arrives in Burkittsville, Maryland after seeing <a href='/title/tt0185937/?ref_='>The Blair Witch Project</a> (1999) to explore the mythology and phenomenon, only to come face to face with their own neuroses and possibly the witch herself.",33848,26437094.0,454.0,171.0,-1.0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2000,Bounce,tt0186894,PG-13,106,"Drama, Romance",5.7,52.0,A man switches plane tickets with another man who dies in that plane in a crash. The man falls in love with the deceased one's wife.,19155,36779296.0,158.0,106.0,-1.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2000,Boys and Girls,tt0204175,PG-13,94,"Comedy, Drama, Romance",5.4,29.0,A friendship is put to the ultimate test when two best friends wind up in bed together.,15130,20627372.0,131.0,67.0,-1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2000,Bring It On,tt0204946,PG-13,98,Comedy|Romance|Sport,5.9000001,52.0,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,71924,68350000.0,384.0,138.0,1386.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
